PLCC,SRCC,RMSE
0.7012474536895752,0.7320202325532879,0.05809582397341728
0.92741459608078,0.9279467985154105,0.05653781816363335
0.5229527354240417,0.36015325670498083,0.06597421318292618
0.9356096982955933,0.9139181692263814,0.13027985394001007
0.9187209606170654,0.8199023199023199,0.06419938057661057
0.816527247428894,0.6310324940382087,0.12849228084087372
0.9063584804534912,0.8462277760406806,0.08676071465015411
0.5548561215400696,0.01560574963287548,0.07469106465578079
0.9744881391525269,0.9708441572430054,0.030930081382393837
0.46971142292022705,0.5031292990995198,0.08240748941898346
0.8612826466560364,0.9065934065934066,0.136774480342865
0.5322754979133606,0.48866995073891606,0.1312026083469391
0.8496629595756531,0.8099519706712689,0.07737639546394348
0.938270628452301,0.9155604300875249,0.09572262316942215
0.8114615678787231,0.6900232718238117,0.06971229612827301
0.9339646100997925,0.7677569525846061,0.044350516051054
-0.09543628245592117,-0.1822909555869332,0.18313772976398468
0.7754273414611816,0.8233555312696347,0.13384217023849487
0.9688024520874023,0.9766042780748664,0.0927545428276062
0.7515103816986084,0.5842490842490842,0.04286184906959534
0.9288977384567261,0.8526069518716578,0.09207097440958023
0.8115435242652893,0.8024032241377278,0.08471403270959854
0.7675870060920715,0.8697908817563906,0.12230891734361649
0.9355869293212891,0.939920632861154,0.03528750315308571
0.6119830012321472,0.6623931623931624,0.21472907066345215
0.9450200200080872,0.9533324298938264,0.1699858456850052
0.8594880104064941,0.7723477721805524,0.08131367713212967
0.7549961805343628,0.5479182230830842,0.06251747161149979
0.9213895201683044,0.8891322534078606,0.10777891427278519
0.7284998297691345,0.6714873776115815,0.18302442133426666
0.5909386873245239,0.40161570275520725,0.2371911257505417
0.8759865760803223,0.9064171122994653,0.12005532532930374
0.8509267568588257,0.8304365754515847,0.12497343868017197
0.9247504472732544,0.9613799531944102,0.12924835085868835
0.6764077544212341,0.3024497085939357,0.1463090032339096
0.8934746384620667,0.8943833943833943,0.12160184234380722
0.4919353127479553,0.4042131019464589,0.09210051596164703
0.94984370470047,0.9772727272727274,0.0572071298956871
0.9485750794410706,0.8899835796387521,0.034061331301927567
0.9001760482788086,0.8522522522522523,0.07042901962995529
0.9075189828872681,0.8203812316715542,0.043915554881095886
0.7534690499305725,0.7117588207354039,0.19987154006958008
0.7812034487724304,0.4888073969495339,0.0804557129740715
0.886867880821228,0.7850006916266132,0.10994549095630646
